"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:0LUdNZqyt5qqDgYWmtE1U8","We a Talk - Remix","spotify:artist:1khmI5tzvFM3QhiAoal6di, spotify:artist:2U5JmM5bTJuARrzQYnDAKn, spotify:artist:3Q0LSoV64A2FTwAFCzyDyq","Ishan Sound, Dread MC, Rider Shafique","spotify:album:0RQyiyBSJ5PZo0z3sTATOx","We a Talk","1","1","275463","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:6VOI8Y3wpljYDAXnKLD46c","Crushin","spotify:artist:4EtCpNKcQ3JXXm5essTfPE","Sleeper","spotify:album:4CmEfRD3rvG3HXyXgMpLOS","Crushin EP","1","3","224708","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:6CrSk2ilRW3GS4PfTJ2q9q","Devi","spotify:artist:0Dk9atH2YtBzyWlxu5VpyC","Somah","spotify:album:0zfH6mXiQngxOv7AnZYnHt","Mercy","1","3","282731","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:1NoIJMmJeLoXgttCO5dQ6Q","Don't Trip","spotify:artist:5ouKVWUPDLS5gCQfvMHZ3T","Mr.K","spotify:album:0p8g4eN3lrXvVFo0LtAuKY","Don't Trip","1","1","209133","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4DEVkPwrOps9sLzJej0AnT","Rule of Language","spotify:artist:23LqlHZ1oiZIXBds7uq7F9","Kryptic Minds","spotify:album:12McTo8HHFB1bTPFNDzbKt","The Divide / Rule of Language","1","2","342857","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:1z2xGKBTKodaGVFUq1jYG4","The Life You Chose - Distance Remix","spotify:artist:2E3cV6nAEE1Q18ghyeD1zj","DJ Madd","spotify:album:3662bNO8Ynjc0kMXvo1BXW","This Is Dubstep 2013","1","29","278400","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:55XDmowC7qP7jONv1kqCMU","Bomba","spotify:artist:7Gg3X2b5ljrhVGXDAwcrq3","Cesco","spotify:album:3jeznNkz9uDrm4ANuNvJz9","Bomba","1","1","287436","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:2NRomfbmLCAMrvThLEi6Hk","Scalp","spotify:artist:43qPWPlDL5noyuCJKPKm6N","Deft","spotify:album:1OFCXkCnPFCUwsORNsoGLI","Scalp","1","1","265073","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:0xiEbxxZlWOh0wFQa4lQb2","Unleashed","spotify:artist:0kubuLkzJufVBMoZCC5v2T, spotify:artist:5ArQQGOMtmVlVnxzkTnXE6","Gremlinz, AxH","spotify:album:2iSfRtkXhc3zs0KIHrWTUT","Unleashed - EP","1","1","344287","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:0yVJ2s9pKr99QKX9e5Ra6L","Phalanx","spotify:artist:24UUxM6HmNY61FJryfs7fk","Mungk","spotify:album:3KMybKt27p3VXlzEa7VKfg","Mumakil","1","3","308571","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
